Develop an ontology dedicated to {noun}.		Develop an ontology dedicated to Eye.	Ontology of Eye:I. Eye Structure    A. External Structures        1. Eyelid        2. Conjunctiva        3. Cornea        4. Sclera        5. Iris        6. Pupil    B. Internal Structures        1. Lens        2. Retina        3. Macula        4. Optic Nerve        5. Vitreous Humor        6. Aqueous Humor        7. Choroid        8. Tapetum LucidumII. Eye Function    A. Vision Process        1. Light Refraction        2. Image Formation        3. Color Perception        4. Depth Perception    B. Visual Pathway        1. Optic Nerve        2. Optic Chiasm        3. Optic Tract        4. Lateral Geniculate Nucleus        5. Optic Radiation    C. Non-Visual Function        1. Circadian RhythmIII. Eye Diseases and Conditions    A. Refractive Errors        1. Myopia        2. Hyperopia        3. Astigmatism        4. Presbyopia    B. Age-related Disorders        1. Cataract        2. Glaucoma        3. Age-related Macular Degeneration    C. Infections and Inflammations        1. Conjunctivitis        2. Uveitis        3. KeratitisIV. Eye Treatments    A. Eye Glasses and Contact Lenses        1. Corrective Lenses        2. Therapeutic Lenses    B. Medicine        1. Eye Drops        2. Ointments        3. Pills    C. Surgery        1. Refractive Surgery        2. Cataract Surgery        3. Glaucoma Surgery        4. Retina SurgeryV. Eye Care Professionals    A. Ophthalmologists    B. Optometrists    C. Opticians    D. Orthoptists    E. OcularistsVI. Eye Research and Innovations    A. Advances in Eye Care        1. Laser Surgery        2. Gene Therapy        3. Stem Cell Therapy    B. Future of Eye Care        1. Artificial Intelligence in Diagnosis        2. Virtual Reality for Vision Training        3. Bioengineering of Eye Tissue
Design an ontology to encompass {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Design an ontology to encompass Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix eyeont: <http://www.example.org/eyeontology#> .eyeont:Eye rdf:type owl:Class .eyeont:Human rdf:type owl:Class .eyeont:Color rdf:type owl:Class .eyeont:belongsTo rdf:type owl:ObjectProperty ;                rdfs:domain eyeont:Eye ;                rdfs:range eyeont:Human .eyeont:hasColor rdf:type owl:ObjectProperty ;                rdfs:domain eyeont:Eye ;                rdfs:range eyeont:Color .eyeont:Blue rdf:type eyeont:Color ;            rdfs:label "Blue"^^xsd:string .eyeont:Brown rdf:type eyeont:Color ;             rdfs:label "Brown"^^xsd:string .eyeont:Green rdf:type eyeont:Color ;             rdfs:label "Green"^^xsd:string .eyeont:Human1 rdf:type eyeont:Human ;              eyeont:Eye eyeont:Eye1 .eyeont:Eye1 rdf:type eyeont:Eye ;            eyeont:belongsTo eyeont:Human1 ;            eyeont:hasColor eyeont:Blue .
Generate an ontology that covers {noun}.		Generate an ontology that covers Eye.	Ontology:Class: Eye    Subclasses: Human Eye, Animal Eye            Class: Human Eye            Subclasses: Right Eye, Left Eye                Class: Right Eye                    Properties: Iris Color, Vision Acuity                Class: Left Eye                        Properties: Iris Color, Vision Acuity        Class: Animal Eye            Subclasses: Mammal Eye, Bird Eye, Reptile Eye, Fish Eye                Class: Mammal Eye                    Properties: Iris Color, Vision Acuity, Number of Eyelids                Class: Bird Eye                    Properties: Iris Color, Vision Acuity, Field of View                Class: Reptile Eye                    Properties: Iris Color, Vertical Pupil                Class: Fish Eye                    Properties: Lens Shape, Vision Underwater                        Properties of Eye:        Part of: Face, Skull        Function: Vision, Light Perception         Composed of: Eyelid, Iris, Cornea, Lens, Retina, Pupil                      Class: Eyelid                Properties: Protection, Moisture             Class: Iris                Properties: Controls Amount of Light            Class: Cornea                Properties: Refracts Light             Class: Lens                Properties: Focuses Light Onto Retina            Class: Retina                Properties: Receives Light             Class: Pupil                Properties: Controls Amount of Light Entering Eye                        Disorders: Glaucoma, Cataract, Conjunctivitis, Myopia, Hyperopia        Class: Glaucoma            Properties: Increased Eye Pressure         Class: Cataract            Properties: Clouding of Lens         Class: Conjunctivitis            Properties: Inflammation or Infection of Eyelid         Class: Myopia            Properties: Nearsightedness        Class: Hyperopia            Properties: Farsightedness                        Tests: Vision Test, Eye Pressure Test, Slit Lamp Examination, Retina Examination        Class: Vision Test            Properties: Measures Vision Acuity        Class: Eye Pressure Test            Properties: Measures Eye Pressure        Class: Slit Lamp Examination            Properties: Examines Structures of Eye         Class: Retina Examination            Properties: Examine Back of Eye                      Procedures: LASIK, Cataract Surgery, Glaucoma Surgery, Corrective Lenses        Class: LASIK            Properties: Corrects Vision        Class: Cataract Surgery            Properties: Removes Clouded Lens        Class: Glaucoma Surgery            Properties: Reduces Eye Pressure         Class: Corrective Lenses            Properties: Corrects Vision Acuity
Generate an ontology that covers {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Generate an ontology that covers Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix eye: <http://www.semanticweb.org/ontologies/eye#> .eye:Eye rdf:type owl:Class .eye:Color rdf:type owl:Class .eye:Disease rdf:type owl:Class .eye:Vision rdf:type owl:Class .eye:Treatment rdf:type owl:Class .eye:hasColor rdf:type owl:ObjectProperty .eye:hasDisease rdf:type owl:ObjectProperty .eye:hasVision rdf:type owl:ObjectProperty .eye:hasTreatment rdf:type owl:ObjectProperty .eye:hasColor rdfs:domain eye:Eye .eye:hasColor rdfs:range eye:Color .eye:hasDisease rdfs:domain eye:Eye .eye:hasDisease rdfs:range eye:Disease .eye:hasVision rdfs:domain eye:Eye .eye:hasVision rdfs:range eye:Vision .eye:hasTreatment rdfs:domain eye:Disease .eye:hasTreatment rdfs:range eye:Treatment .eye:Vision rdf:type owl:Class .eye:NormalVision rdf:type owl:Class .eye:NearSightedness rdf:type owl:Class .eye:FarSightedness rdf:type owl:Class .eye:NormalVision rdfs:subClassOf eye:Vision .eye:NearSightedness rdfs:subClassOf eye:Vision .eye:FarSightedness rdfs:subClassOf eye:Vision .eye:Disease rdf:type owl:Class .eye:Glaucoma rdf:type owl:Class .eye:Cataracts rdf:type owl:Class .eye:Conjunctivitis rdf:type owl:Class .eye:Glaucoma rdfs:subClassOf eye:Disease .eye:Cataracts rdfs:subClassOf eye:Disease .eye:Conjunctivitis rdfs:subClassOf eye:Disease .
Produce an ontology specifically for {noun}.		Produce an ontology specifically for Eye.	Ontology Title: Eye Ontology1. Eye Anatomy    - Cornea         - Epithelium          - Bowman's layer          - Stroma          - Descemet membrane           - Endothelium     - Lens         - Capsule         - Cortex         - Nucleus    - Iris          - Stroma         - Muscles          - Pupil    - Retina         - Inner retina         - Outer retina    - Vitreous body    - Optic Nerve    2. Eye Functions     - Vision            - Color perception           - Depth perception           - Light perception     - Tear production     - Blinking3. Eye Disorders     - Cataract     - Glaucoma     - Macular Degeneration     - Dry Eyes     - Conjunctivitis     - Keratoconus 4. Eye Treatment      - Medications          - Eyedrops          - Ointments     - Surgical procedures          - Laser surgery          - Cataract surgery          - Corneal transplant     - Vision correction          - Glasses          - Contact lenses          - LASIK surgery  5. Eye Examination     - Visual acuity test     - Refraction assessment     - Visual field test     - Color vision testing     - Slit-lamp examination     - Retinal examination6. Eye Care Professionals     - Optometrist     - Ophthalmologist     - Optician     - Ocularist     - Ophthalmic medical practitioner     - Orthoptist     - Ophthalmic nurse  7. Eye Research (Ophthalmic Research)     - Clinical trials     - Experimental treatments     - Genetics & genomics of eye disorders     - Advances in eye surgery     - Development of new diagnostic tools 8. Eye Health      - Eye nutrition     - Protective eyewear     - Regular check-ups     - Smoking & eye health     - Diabetes & eye health     9. Eye Development     - Embryonic eye development     - Postnatal eye development     - Aging and the eye10. Eye-related Tools and Technologies     - Eyeglasses     - Contact lenses     - Magnifiers     - Assistive technology for low vision     - Surgical tools     - Diagnostic equipment
Produce an ontology specifically for {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Produce an ontology specifically for Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix eye: <http://www.example.org/eye#> .eye:Eye rdf:type owl:Class .eye:color rdf:type owl:DatatypeProperty ;    rdfs:domain eye:Eye ;    rdfs:range xsd:string .eye:hasShape rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range eye:Shape .eye:Shape rdf:type owl:Class .eye:Round rdf:type eye:Shape .eye:Almond rdf:type eye:Shape .eye:Droopy rdf:type eye:Shape .eye:hasVision rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range eye:Vision .eye:Vision rdf:type owl:Class .eye:Normal rdf:type eye:Vision .eye:Nearsighted rdf:type eye:Vision .eye:Farsighted rdf:type eye:Vision .eye:hasDisorder rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range eye:Disorder .eye:Disorder rdf:type owl:Class .eye:Glaucoma rdf:type eye:Disorder .eye:Cataract rdf:type eye:Disorder .eye:hasKinesthesia rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range xsd:boolean .eye:hasCiliaryMuscle rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range xsd:boolean .eye:hasLens rdf:type owl:ObjectProperty ;    rdfs:domain eye:Eye ;    rdfs:range xsd:boolean .
Compose an ontology to represent {noun}.		Compose an ontology to represent Eye.	Ontology:1. Concept: Eye    Attributes: Color, Size, Shape, Health Status2. Subconcepts:     - Sclera: The white part of the eye.        Attributes: Color    - Iris: The colored part of the eye that regulates the size of the pupil.        Attributes: Color        - Pupil: The dark central opening of the iris.         Attributes: Size    - Cornea: The outermost, transparent layer of the eye.         Attributes: Health Status        - Lens: A transparent body located behind the iris.         Attributes: Health Status    - Eyelid: The protective cover for the eyeball.        Attributes: Size, Health Status    - Retina: The light-sensitive portion at the back of the eye.        Attributes: Health Status        - Blinking: The act of closing and opening the eyelid.        Attributes: Frequency    - Tears: The fluid produced by eyes.        Attributes: Quality, Quantity    - Eyelashes: The hairs on the edge of an eyelid.        Attributes: Length, Density, Color    - Vision: The ability to see with the eyes.        Attributes: Quality (20/20, 20/40, etc)    - Eye disorders: Conditions affecting the eye.        Attributes: Type (nearsightedness, farsightedness, astigmatism, etc)3. Relationships between concepts:    - The iris and pupil are part of the eye.    - Vision depends on the overall health of the eye.    - Eye disorders can affect vision.    - The cornea and lens affect the focusing of light onto the retina.    - Blinking pertains to the eyelid.    - Tears are produced by the eye.    - Eyelashes are related to the eyelid.
Compose an ontology to represent {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Compose an ontology to represent Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix human-anatomy: <http://example.org/human-anatomy#> .human-anatomy:Eye rdf:type owl:Class ;    rdfs:subClassOf human-anatomy:BodyPart ;    rdfs:label "Eye"@en ;    rdfs:comment "A paired organ of the visual system that allows for vision."@en .human-anatomy:hasPart rdf:type owl:ObjectProperty ;    rdfs:domain human-anatomy:Eye ;    rdfs:range human-anatomy:BodyPart ;    rdfs:label "has part"@en ;    rdfs:comment "Asserts that an Eye has a particular part."@en .human-anatomy:Cornea rdf:type owl:Class ;    rdfs:subClassOf human-anatomy:BodyPart ;    rdfs:comment "Transparent front part of the eye that covers the iris, pupil, and anterior chamber."@en .human-anatomy:Iris rdf:type owl:Class ;    rdfs:subClassOf human-anatomy:BodyPart ;    rdfs:comment "Thin, circular structure in the eye that controls the diameter and size of the pupil."@en .human-anatomy:Retina rdf:type owl:Class ;    rdfs:subClassOf human-anatomy:BodyPart ;    rdfs:comment "Light-sensitive layer of tissue, lining the inner surface of the eye."@en .human-anatomy:Pupil rdf:type owl:Class ;    rdfs:subClassOf human-anatomy:BodyPart ;    rdfs:comment "The black circular opening in the iris that lets light in."@en .human-anatomy:Eye human-anatomy:hasPart human-anatomy:Cornea .human-anatomy:Eye human-anatomy:hasPart human-anatomy:Iris .human-anatomy:Eye human-anatomy:hasPart human-anatomy:Retina .human-anatomy:Eye human-anatomy:hasPart human-anatomy:Pupil .```
Make an ontology that pertains to {noun}.		Make an ontology that pertains to Eye.	1. Eye   - Definition: The organ of sight in humans and animals, which is responsible for vision.    2. Sub Parts of Eye:   - Cornea: The clear front surface of the eye that helps to focus light.   - Retina: The innermost layer of the eye, responsible for creating images to send to the brain.   - Iris: The colored part of the eye that controls the amount of light that enters the eye.   - Pupil: The black dot in the middle of the iris that allows light to enter the retina.   - Lens: The part of the eye that focuses light onto the retina to form an image.   - Optic Nerve: The nerve that transmits visual data from the retina to the brain.3. Diseases related to eye:   - Cataract: A clouding of the lens in the eye resulting in decreased vision.   - Glaucoma: A group of eye diseases causing damage to the optic nerve and vision loss.   - Age-related Macular Degeneration: A disease that blurs the sharp, central vision.   - Diabetic Retinopathy: A complication of diabetes that affects the eyes.4. Eye Care Professionals:   - Optometrist: A healthcare professional who tests eyes, prescribes glasses, and can diagnose some eye problems.   - Ophthalmologist: A medical doctor who specializes in treating diseases of the eyes.   - Optician: A professional who fits and sells corrective lenses.5. Eye Processes:   - Vision: The main function of the eye, which involves receiving light and converting it into neural signals.   - Tear Production: The process of producing moisture to keep the eye lubricated and clean.   - Blinking: An automatic process wherein the eyelid moves down over the eye, keeping it moist and free from debris.6. Eye Treatments:   - Glasses/Contact Lenses: Devices used to correct various types of vision problems.   - Laser Eye Surgery: A surgical procedure used to correct vision.   - Medications: Used to treat various eye conditions like infection and inflammation. 7. Eye Examinations:   - Visual Acuity Test: Checks how well you see at various distances.   - Color Blindness Test: Evaluates your ability to distinguish between different colors.   - Eye Pressure Test : Checks for glaucoma by measuring the pressure in the eye.8. Eye Protection:   - Sunglasses: Protect the eyes from harmful UV rays.   - Safety Goggles: Protect the eyes from injuries during activities like sports, carpentry, etc.
Make an ontology that pertains to {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Make an ontology that pertains to Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix eye: <http://www.example.org/eye#> .eye:Eye rdf:type owl:Class .eye:color rdf:type owl:DatatypeProperty ;    rdfs:range xsd:string ;    rdfs:domain eye:Eye .eye:hasLens rdf:type owl:ObjectProperty ;    rdfs:range eye:Lens ;    rdfs:domain eye:Eye .eye:Lens rdf:type owl:Class .eye:hasIris rdf:type owl:ObjectProperty ;    rdfs:range eye:Iris ;    rdfs:domain eye:Eye .eye:Iris rdf:type owl:Class .eye:hasRetina rdf:type owl:ObjectProperty ;    rdfs:range eye:Retina ;    rdfs:domain eye:Eye .eye:Retina rdf:type owl:Class .eye:hasCornea rdf:type owl:ObjectProperty ;    rdfs:range eye:Cornea ;    rdfs:domain eye:Eye .eye:Cornea rdf:type owl:Class .eye:EyeDisease rdf:type owl:Class .eye:hasDisease rdf:type owl:ObjectProperty ;    rdfs:range eye:EyeDisease ;    rdfs:domain eye:Eye .```This ontology consists of an `Eye` class, with properties for `color, hasLens, hasIris, hasRetina, hasCornea, and hasDisease`. The properties are associated with respective domain (Eye) and range types.
Develop an ontology dedicated to the following: {noun}.		Develop an ontology dedicated to the following: Eye.	Ontology: Eye1. Anatomy:   1.1. Parts:      1.1.1. Cornea      1.1.2. Iris      1.1.3. Pupil      1.1.4. Lens      1.1.5. Retina      1.1.6. Sclera      1.1.7. Optic Nerve   1.2. Layers:      1.2.1. Outer Layer         1.2.1.1. Sclera         1.2.1.2. Cornea      1.2.2. Middle Layer         1.2.2.1. Choroid         1.2.2.2. Ciliary Body         1.2.2.3. Iris      1.2.3. Inner Layer         1.2.3.1. Retina2. Functions:   2.1. Vision    2.2. Light Detection   2.3. Color Perception   2.4. Depth Perception3. Diseases and Conditions:   3.1. Refractive Errors      3.1.1. Myopia      3.1.2. Hyperopia      3.1.3. Astigmatism      3.1.4. Presbyopia   3.2. Eye Infections      3.2.1. Conjunctivitis      3.2.2. Stye      3.2.3. Keratitis   3.3. Other Conditions      3.3.1. Glaucoma      3.3.2. Cataracts      3.3.3. Macular Degeneration4. Treatments and Interventions:   4.1. Glasses and Contacts   4.2. Medication   4.3. Surgery      4.3.1. Cataract Surgery      4.3.2. LASIK      4.3.3. Glaucoma Surgery5. Eye Care:    5.1. Regular Eye Check-up    5.2. Adequate Nutrition    5.3. Protective Eyewear    5.4. Proper Hygiene6. Specialists:   6.1. Ophthalmologist   6.2. Optometrist   6.3. Optician
Develop an ontology dedicated to the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Develop an ontology dedicated to the following: Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix eye: <http://www.example.org/eye#> .eye:Eye rdf:type rdfs:Class .eye:color rdf:type rdf:Property ;    rdfs:domain eye:Eye ;    rdfs:range xsd:string .    eye:vision rdf:type rdf:Property ;    rdfs:domain eye:Eye ;    rdfs:range xsd:string .eye:disease rdf:type rdf:Property ;    rdfs:domain eye:Eye ;    rdfs:range xsd:string .eye:eyeShape rdf:type rdf:Property ;    rdfs:domain eye:Eye ;    rdfs:range xsd:string .eye:hasLens rdf:type rdf:Property ;    rdfs:domain eye:Eye ;    rdfs:range eye:Lens .eye:Lens rdf:type rdfs:Class .eye:lensShape rdf:type rdf:Property ;    rdfs:domain eye:Lens ;    rdfs:range xsd:string .eye:lensThickness rdf:type rdf:Property ;    rdfs:domain eye:Lens ;    rdfs:range xsd:double .eye:lensMaterial rdf:type rdf:Property ;    rdfs:domain eye:Lens ;    rdfs:range xsd:string .```This is a basic ontology for the Eye, describing properties like eye color, vision, disease, shape, and a association with a Lens class which has its own attributes of shape, material and thickness. The language used is Turtle, which is a compact and easy-to-read syntax for RDF.
Construct an ontology focused on the following: {noun}.		Construct an ontology focused on the following: Eye.	An ontology is a set of concepts and categories that represent a kind of reality, where the objects and the type of relationships among the objects are defined. Here is a simple ontology focused on the Eye.1. **Entity: Eye**    - Definition: An organ of vision or of light sensitivity.    - Properties: Color, Shape, Size    - Functions: Vision, Light detection2. **Sub-Entities:**     - **Cornea**        - Definition: The eye's outermost layer. It is the clear, dome-shaped surface that covers the front of the eye.        - Function: Light transmission and focus    - **Iris**        - Definition: The colored ring of tissue behind the cornea.        - Function: Regulating the amount of light entering the eye    - **Pupil**        - Definition: The dark circular opening in the center of the iris.        - Function: Controls the amount of light that reaches the retina    - **Lens**        - Definition: The transparent structure inside the eye.        - Function: Focuses light rays onto the retina    - **Retina**        - Definition: The light-sensitive nerve layer that lines the back of the eye wall.        - Function: Visual recognition3. **Related Entities:**    - **Eyelid**        - Definition: A thin fold of skin that covers and protects the eye.        - Function: Opens and closes to protect the eye from foreign bodies.    - **Eyelashes**        - Definition: Hairs attached to the upper and lower eyelids that create a line of defense against dust and other elements to the eye.        - Function: Protect the eye from debris.    - **Eyebrows**        - Definition: Arcs of short hairs above the eye socket.        - Function: Protect the eyes by directing sweat, rain, and moisture around the sides of the face to help keep vision clear.     4. **Processes:**    - **Blinking**        - Definition: The act of closing and opening the eyelid.        - Function: Keeps the eye's surface moist and clean.    - **Tearing**        - Definition: The production of liquids by the eyes.        - Function: Cleanse the eye and keep it moist.    - **Seeing**        - Definition: The process by which the images captured by the eye are interpreted by the brain.        - Function: Vision5. **Disorders**    - **Cataract**        - Definition: A clouding of the eye's lens.        - Treatment: Surgery    - **Glaucoma**        - Definition: A group of eye disorders leading to progressive damage to the optic nerve.        - Treatment: Medication, Surgery    - **Macular Degeneration**        - Definition: A disease that gradually causes loss of sharp, central vision due to deterioration of the macula.        - Treatment: Medication, Therapies    - **Conjunctivitis (Pink Eye)**        - Definition: An inflammation of the conjunctiva that can result in red, itchy eyes.        - Treatment: Eyedrops, Medication    - **Dry Eyes**        - Definition: A condition caused by the eyes not producing enough tears.        - Treatment: Eyedrops, MedicationThis is a basic ontology of the Eye. It could be expanded further by including more levels of detail about each entity, related entities, processes, disorders, and treatments.
Construct an ontology focused on the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Construct an ontology focused on the following: Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix ex: <http://www.example.org/ontology#> .ex:BodyPart rdf:type rdfs:Class .ex:Eye rdf:type rdfs:Class ;    rdfs:subClassOf ex:BodyPart .ex:Cornea rdf:type rdfs:Class ;    rdfs:subClassOf ex:Eye .ex:Pupil rdf:type rdfs:Class ;    rdfs:subClassOf ex:Eye .ex:Retina rdf:type rdfs:Class ;    rdfs:subClassOf ex:Eye .ex:Iris rdf:type rdfs:Class ;    rdfs:subClassOf ex:Eye .ex:Vision rdf:type rdfs:Class .ex:ColorVision rdf:type rdfs:Class ;    rdfs:subClassOf ex:Vision .ex:NightVision rdf:type rdfs:Class ;    rdfs:subClassOf ex:Vision .ex:NormalVision rdf:type rdfs:Class ;    rdfs:subClassOf ex:Vision .ex:ColorBlind rdf:type rdfs:Class ;    rdfs:subClassOf ex:Vision .ex:EyeDisease rdf:type rdfs:Class .ex:Glaucoma rdf:type rdfs:Class ;    rdfs:subClassOf ex:EyeDisease .ex:Cataract rdf:type rdfs:Class ;    rdfs:subClassOf ex:EyeDisease .ex:eyeCondition rdf:type owl:ObjectProperty ;    rdfs:domain ex:Eye ;    rdfs:range ex:EyeDisease .ex:eyeVision rdf:type owl:ObjectProperty ;    rdfs:domain ex:Eye ;    rdfs:range ex:Vision .
Build an ontology surrounding the concept of the following: {noun}.		Build an ontology surrounding the concept of the following: Eye.	An ontology is a way of representing a set of concepts and their relationships. Here is an ontology centered around the concept of "Eye":1. Eye   - Definition: The organ of sight in humans and animals.   2. Parts of the Eye   - Cornea: The clear front surface of the eye.   - Iris: The colored part of the eye, which helps control how much light enters.   - Pupil: The black circular opening in the iris that lets light in.   - Lens: A clear part of the eye behind the iris that helps to focus light or an image on the retina.   - Retina: The light-sensitive inner lining of the back of the eye.   - Optic Nerve: The nerve that transmits visual information from the retina to the brain.3. Functions of the Eye   - Vision: The primary function of the eye, to provide visual information to the brain.   - Light detection: The eye detects and reacts to levels of illumination.4. Disorders of the Eye   - Myopia: Nearsightedness, the inability to see distant objects clearly.   - Hypermetropia: Farsightedness, the inability to see close objects clearly.   - Astigmatism: A condition that causes blurred vision due to the irregular shape of the cornea.   - Glaucoma: A group of eye conditions that can cause blindness due to damage to the optic nerve.   - Cataract: Clouding of the lens in the eye which leads to a decrease in vision.5. Eye Care Professionals   - Ophthalmologist: A medical doctor specialized in the diagnoses and treatment of eye diseases.   - Optometrist: A healthcare professional providing primary eye care, including vision testing and correction.   - Optician: A technical practitioner who designs, fits and dispenses corrective lenses.6. Eye Care and Eye Wear   - Glasses: A device with lenses used to correct vision.   - Contacts: Thin lenses placed directly on the surface of the eye to correct vision.   - Eye drops: Drops of solution placed in the eye for lubrication, medication, or comfort.   - Eye Exams: Regular screening to evaluate eye health and determine the need for corrective lenses.7. Biological Adaptations   - Eye Color: The human eye color is a trait influenced by multiple genes.   - Binocular Vision: The ability to maintain visual focus on an object with both eyes, creating a single visual image.   - Eye Size and Shape: Varies among species; adaptive traits for different environments and survival needs. 8. Cross-species Comparisons  - Compound Eyes: Found in some insects and crustaceans, made up of thousands of individual visual receptors, called ommatidia.  - Tapetum Lucidum: A layer of tissue in the eye of many vertebrates, causing eye shine and improving night vision.  - Birds of Prey: Have a much higher proportion of light-sensitive cells to help spot potential prey from large distances. 9. Symbolism and Cultural Importance of Eye   - The Eye of Horus: An ancient Egyptian symbol of protection, royal power, and good health.  - Evil Eye: A curse or legend believed to be cast by a malevolent glare.10. Technological Eye Analogues    - Camera: Devices that capture images with a lens and light sensor acting similarly to the eye.   - Optical Sensors: Devices using light or changes in light to gather information.
Build an ontology surrounding the concept of the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Build an ontology surrounding the concept of the following: Eye. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix ex: <http://example.org/> .ex:Eye     a ex:BodyOrgan ;    ex:hasPart ex:Lens ;    ex:hasPart ex:Cornea ;    ex:hasPart ex:Iris ;    ex:hasPart ex:Retina ;    ex:linkedTo ex:OpticNerve ;    ex:characteristic "Vision"^^xsd:string . ex:Lens    a ex:EyeComponent ;    ex:function "Focusing light"^^xsd:string .ex:Cornea    a ex:EyeComponent ;    ex:function "Protecting the eye"^^xsd:string .ex:Iris    a ex:EyeComponent ;    ex:function "Controlling the diameter and size of the pupil"^^xsd:string .ex:Retina    a ex:EyeComponent ;    ex:function "Receiving light that the lens has focused, turning it into neural signals"^^xsd:string .ex:OpticNerve    a ex:BodyOrgan ;    ex:function "Transmitting visual information from the retina to the brain"^^xsd:string .ex:BodyOrgan    a rdfs:Class ;    rdfs:comment "Body organs are parts of an organism which perform vital body functions."^^xsd:string .ex:EyeComponent     a rdfs:Class ;    rdfs:comment "Eye components not only help to protect the eye but are also vital in the process of seeing."^^xsd:string .ex:hasPart    a rdf:Property ;    rdfs:domain ex:BodyOrgan ;    rdfs:range ex:EyeComponent ;    rdfs:comment "This property links body organs to their components."^^xsd:string .ex:linkedTo    a rdf:Property ;    rdfs:domain ex:BodyOrgan ;    rdfs:range ex:BodyOrgan ;    rdfs:comment "This property describes which body organs are linked to each other."^^xsd:string .ex:function    a rdf:Property ;    rdfs:domain [ rdf:type owl:Class ; owl:unionOf ( ex:EyeComponent ex:BodyOrgan ) ] ;    rdfs:range xsd:string ;    rdfs:comment "This property gives the function of body organs or eye components."^^xsd:string .ex:characteristic    a rdf:Property ;    rdfs:domain ex:BodyOrgan ;    rdfs:range xsd:string ;    rdfs:comment "This property gives the characteristic of a body organ."^^xsd:string .```In the above RDF/Turtle code, the concepts of body organs and eye components are linked by "hasPart" relation. A body organ can be linked to another body organ by "linkedTo" relation. Functions and characteristics of body organs and eye components are given by "function" and "characteristic" properties, respectively.
