Develop an ontology dedicated to {noun}.		Develop an ontology dedicated to Story.	I. Story Types    A. Fiction        1. Fantasy        2. Science Fiction        3. Mystery        4. Romance        5. Horror    B. Non-Fiction        1. Biography        2. Autobiography        3. Documentary        4. Historical    C. Hybrid        1. Historical Fiction        2. Biographical Fiction        3. Docudrama        4. Creative Non-FictionII. Story Elements    A. Characters        1. Protagonist        2. Antagonist        3. Supporting Characters        4. Foil    B. Setting        1. Time        2. Place        3. Atmosphere    C. Plot        1. Exposition        2. Rising Action        3. Climax        4. Falling Action        5. Resolution    D. Themes        1. Love        2. War        3. Coming of Age        4. Crime and Punishment    E. Narrative Techniques        1. Point of View        2. Foreshadowing        3. Flashback    F. Literary Devices        1. Metaphor        2. Simile        3. Irony        4. Hyperbole    G. Conflict        1. Man vs Man        2. Man vs Society        3. Man vs Nature        4. Man vs HimselfIII. Story Formats    A. Prose        1. Novel        2. Short Story        3. Novella    B. Poetry        1. Epic        2. Ballad        3. Free Verse    C. Drama        1. Tragedy        2. Comedy        3. Historical    D. Visual        1. Film        2. Television        3. Graphic Novel    E. Digital        1. Audiobook        2. E-book        3. PodcastIV. Story Creation    A. Writing Process        1. Outline        2. Draft        3. Edit        4. Publish    B. Context        1. Author's Background        2. Cultural Influence        3. Historical Influence    C. Medium        1. Pen and Paper        2. Typewriter        3. Computer        4. Voice Recording    D. Market        1. Traditional Publishing        2. Self-Publishing        3. Online Platforms    E. Promotion        1. Book Signings        2. Book Tours        3. Online Marketing        4. Book ReviewsV. Story Consumption    A. Reading    B. Listening    C. Watching    D. Participating (Interactive Stories/Games)    E. Discussion and Analysis        1. Study Groups        2. Book Clubs        3. Literature ClassVI. Story Impact    A. Personal        1. Inspiration        2. Escapism        3. Learning    B. Society/Culture        1. Preservation of History and Tradition        2. Social Commentary        3. Shaping Public Opinion    C. Art and Literature        1. Advancing the Artform        2. Influencing Other Works        3. Inspiring Adaptations and Transformations
Design an ontology to encompass {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Design an ontology to encompass Story. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix stor: <http://www.example.org/story#> .stor:Story a rdfs:Class ;    rdfs:label "Story"@en ;    rdfs:comment "A narrative, either true or fictitious, designed to interest, amuse, or instruct the hearer or reader."@en ;    rdfs:subClassOf rdfs:Resource .stor:title a rdf:Property ;    rdfs:label "title"@en ;    rdfs:domain stor:Story ;    rdfs:range xsd:string .stor:author a rdf:Property ;    rdfs:label "author"@en ;    rdfs:domain stor:Story ;    rdfs:range stor:Person .stor:Person a rdfs:Class ;    rdfs:label "Person"@en ;    rdfs:comment "A human being as an individual."@en ;    rdfs:subClassOf rdfs:Resource .stor:hasCharacter a rdf:Property ;    rdfs:label "has character"@en ;    rdfs:domain stor:Story ;    rdfs:range stor:Character .stor:Character a rdfs:Class ;    rdfs:label "Character"@en ;    rdfs:comment "A person in a novel, play, or film."@en ;    rdfs:subClassOf rdfs:Resource .stor:genre a rdf:Property ;    rdfs:label "genre"@en ;    rdfs:domain stor:Story ;    rdfs:range xsd:string .```This is a simple ontology for a story, with the main class being Story and other classes including Person and Character. The Story class has properties such as title, author (which relates to the Person class), hasCharacter (which relates to the Character class) and genre. Each class and property is labelled and has a textual description (comment).
Generate an ontology that covers {noun}.		Generate an ontology that covers Story.	1. Story    - Fictional Story        - Novel        - Short Story        - Graphic Novel        - Children's Story        - Fantasy Story        - Science Fiction Story        - Horror Story        - Romantic Story    - Nonfictional Story        - Biography        - Autobiography        - Documentary        - History            - World History            - Local History        - Personal Story    - Story Elements        - Characters            - Protagonist            - Antagonist            - Supporting Characters        - Plot            - Beginning            - Middle            - End        - Setting            - Time            - Place            - Atmosphere        - Point of View            - First Person            - Third Person            - Omniscient        - Theme    - Storytelling         - Oral Storytelling         - Written Storytelling        - Dramatization        - Animation    - Story Writing        - Plot Development        - Character Development        - Setting Creation        - Dialogue Writing     - Story Critique        - Literary Critique        - Film Review        - Book Review    - Story Formats        - eBook        - Audio Book        - Film        - Teleseries        - Play        - Podcast    - Cultural Stories        - Mythology        - Folklore        - Legends        - Fables    - Story Genres        - Romance        - Action        - Thriller        - Mystery        - Drama    - Story Consumption         - Reading         - Listening         - Watching    - Story Impact        - Emotional Impact        - Psychological Impact        - Societal Impact    - Story Collection        - Anthology        - Series        - Trilogy
Generate an ontology that covers {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Generate an ontology that covers Story. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .:Story rdf:type owl:Class ;    rdfs:subClassOf rdfs:Resource ;    rdfs:label "Story" ;    rdfs:comment "A structured narrative or account of events" .:hasTitle rdf:type owl:DatatypeProperty ;    rdfs:range xsd:string ;    rdfs:domain :Story ;    rdfs:label "hasTitle" ;    rdfs:comment "The title of the story" .:hasAuthor rdf:type owl:ObjectProperty ;    rdfs:range :Person ;    rdfs:domain :Story ;    rdfs:label "hasAuthor" ;    rdfs:comment "The author of the story" .:hasSetting rdf:type owl:ObjectProperty ;    rdfs:range :Place ;    rdfs:domain :Story ;    rdfs:label "hasSetting" ;    rdfs:comment "The setting of the story" .:hasCharacter rdf:type owl:ObjectProperty ;    rdfs:range :Character ;    rdfs:domain :Story ;    rdfs:label "hasCharacter" ;    rdfs:comment "A character in the story" .:Person rdf:type owl:Class ;    rdfs:subClassOf rdfs:Resource ;    rdfs:label "Person" ;    rdfs:comment "A person, usually as the author of a story" .:Place rdf:type owl:Class ;    rdfs:subClassOf rdfs:Resource ;    rdfs:label "Place" ;    rdfs:comment "A setting or location in the story" .:Character rdf:type owl:Class ;    rdfs:subClassOf rdfs:Resource ;    rdfs:label "Character" ;    rdfs:comment "A character or entity that plays a role in a story" .
Produce an ontology specifically for {noun}.		Produce an ontology specifically for Story.	1. Story1.1. Fiction  1.1.1. Novel        1.1.1.1. Fantasy Novel        1.1.1.2. Mystery Novel        1.1.1.3. Romance Novel        1.1.1.4. Science Fiction Novel   1.1.2. Short Story   1.1.3. Novella1.2 Non-Fiction  1.2.1. Biography  1.2.2. Autobiography  1.2.3. Essay  1.2.4. Article1.3 Story Elements  1.3.1. Plot  1.3.2. Characters    1.3.2.1. Protagonist    1.3.2.2. Antagonist    1.3.2.3. Supporting Characters  1.3.3. Setting    1.3.3.1. Time    1.3.3.2. Place   1.3.4. Conflict   1.3.5. Resolution1.4. Story structure  1.4.1. Introduction  1.4.2. Rising Action  1.4.3. Climax  1.4.4. Falling Action  1.4.5. Conclusion2. Story Types2.1. Children’s story2.2. Myth2.3. Legend2.4. Fairy Tale2.5. Fable2.6. Parable3. Storytelling3.1. Oral story telling3.2. Written story telling3.3. Digital story telling3.3.1. Podcasts3.3.2. Web series3.3.3. Blog3.4. Theater4. Story Audience4.1. Children4.2. Young adults4.3. Adults5. Story Creation5.1. Author5.2. Co-Author5.3. Ghostwriter5.4. Editor6. Story Formats6.1. Book6.2. E-Book6.3. Audio Book6.4. Play6.5. Screenplay7. Story Interpretation7.1. Critic7.2. Review7.3. Analysis.This is a basic ontology of a story. Depending on the specificity required, each of these categories could have further subcategories.
Produce an ontology specifically for {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Produce an ontology specifically for Story. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix story: <http://www.example.com/story#> .story:Story a rdfs:Class ;  rdfs:comment "A narrative, either true or fictional, composed of a sequence of connected events."@en ;  rdfs:label "Story"@en .story:Author a rdfs:Class ;  rdfs:comment "The person who wrote the story."@en ;  rdfs:label "Author"@en .story:Character a rdfs:Class ;  rdfs:comment "A person, animal or any other thing with a role in the story."@en ;  rdfs:label "Character"@en .story:Setting a rdfs:Class ;  rdfs:comment "The time, place and conditions at the time when the story's actions occur."@en ;  rdfs:label "Setting"@en .story:writtenBy a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Author ;  rdfs:comment "Links a story to its author."@en ;  rdfs:label "written by"@en .story:hasCharacter a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Character ;  rdfs:comment "Links a story to one of its characters."@en ;  rdfs:label "has character"@en .story:hasSetting a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Setting ;  rdfs:comment "Links a story to its setting."@en ;  rdfs:label "has setting"@en .story:Plot a rdfs:Class ;  rdfs:comment "The events that make up a story, particularly as they relate to one another in a pattern, in a sequence, through cause and effect, or by coincidence."@en ;  rdfs:label "Plot"@en .story:hasPlot a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Plot ;  rdfs:comment "Links a story to its plot."@en ;  rdfs:label "has plot"@en .
Compose an ontology to represent {noun}.		Compose an ontology to represent Story.	Title: Story OntologyClasses:1. Story2. Author3. Genre4. Character5. Setting6. Plot7. Theme8. Point_of_ViewProperties:1. hasAuthor (Story to Author)2. isOf_Genre (Story to Genre)3. includesCharacter (Story to Character)4. occursInSetting (Story to Setting)5. followsPlot (Story to Plot)6. representsTheme (Story to Theme)7. toldThroughPOV (Story to Point_of_View)8. createdBy (Author to Story)9. writesIn_Genre (Author to Genre)10. playsInStory (Character to Story)11. appearsInSetting (Character to Setting)12. partOfPlot (Character to Plot)13. locationOfStory (Setting to Story)14. plotLocation (Setting to Plot)15. plotOf_Story (Plot to Story)16. includesCharacter (Plot to Character)17. plotInSetting (Plot to Setting)18. themeOf_Story (Theme to Story)19. povOf_Story (Point_of_View to Story) Individuals:Each individual can vary greatly as per the actual story's content. Examples:Story: The_Great_GatsbyAuthor: F_Scott_FitzgeraldGenre: Tragedy, Social_CriticsCharacter: Jay_Gatsby, Daisy_BuchananSetting: New_York_City, 1922Plot: Wealth, Love, Lost_DreamTheme: American_Dream, Society, WealthPoint_of_View: First_PersonAxioms:Every story has at least one author, genre, character, setting, plot, theme, and point of view. Every author must have written at least one story.Every character belongs to a least one story and plays a part in the plot.Each story takes place in one or multiple settings.The plot is a vital component of the story and occurs with characters in a setting.Theme is an underlying message or main idea behind the story.The story is told from at least one point of view. A story may belong to multiple genres. An author could write stories in multiple genres. A single story can have several major and minor characters. Characters may appear in multiple stories and settings, etc.
Compose an ontology to represent {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Compose an ontology to represent Story. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix sto: <http://example.org/sto#> .# Defining class "Story"sto:Story rdf:type rdfs:Class ;  rdfs:label "Story" ;  rdfs:comment "A narrative or account of events" .# Defining class "Author"sto:Author rdf:type rdfs:Class ;  rdfs:label "Author" ;  rdfs:comment "The writer of a story" .# Defining class "Character"sto:Character rdf:type rdfs:Class ;  rdfs:label "Character" ;  rdfs:comment "A person, animal, or imaginary being in a story" .# Defining class "Setting"sto:Setting rdf:type rdfs:Class ;  rdfs:label "Setting" ;  rdfs:comment "The time and place of the events in the story" .# Defining class "Plot"sto:Plot rdf:type rdfs:Class ;  rdfs:label "Plot" ;  rdfs:comment "The sequence of events in a story" .# Defining propertiessto:isCreatedBy rdf:type rdf:Property ;  rdfs:label "is created by" ;  rdfs:domain sto:Story ;  rdfs:range sto:Author .sto:hasCharacter rdf:type rdf:Property ;  rdfs:label "has character" ;  rdfs:domain sto:Story ;  rdfs:range sto:Character .sto:hasSetting rdf:type rdf:Property ;  rdfs:label "has setting" ;  rdfs:domain sto:Story ;  rdfs:range sto:Setting .sto:hasPlot rdf:type rdf:Property ;  rdfs:label "has plot" ;  rdfs:domain sto:Story ;  rdfs:range sto:Plot .```
Make an ontology that pertains to {noun}.		Make an ontology that pertains to Story.	1. Story   - Genre     - Romance     - Horror     - Mystery     - Science Fiction     - Fantasy     - Comedy     - Tragedy   - Author      - Professional writer      - Amateur writer   - Characters      - Protagonist      - Antagonist      - Supporting characters    - Setting      - Location      - Time Period   - Plot      - Introduction      - Rising action      - Climax      - Falling action      - Resolution   - Themes   - Narration      - First person      - Second person      - Third person      - Omniscient    - Length      - Short story      - Novelette      - Novella      - Novel   - Format      - Hardcover      - Paperback      - Ebook      - Audio Book    - Language   - Publishers    - Audience      - Children      - Young Adults      - Adults - Story Structure  - Beginning    - Setting    - Characters    - Conflict  - Middle    - Rising Action    - Climax  - End    - Falling Action    - Resolution    - Denouement- Story Elements  - Theme  - Characters    - Development    - Description  - Setting  - Plot  - Conflict  - Mood  - Tone- Narrative Techniques  - Point of View  - Dialogue  - Description  - Internal Monologue  - Flashback  - Foreshadowing  - Symbolism  - Irony  - Metaphor  - Allusion- Literary Devices  - Simile  - Metaphor  - Onomatopoeia  - Allegory  - Symbolism  - Irony  - Hyperbole  - Foreshadowing  - Personification  - Alliteration- Story Evaluation  - Literary Criticism  - Analysis  - Review  - Rating  - Interpretation  - Reception- Storytelling Methods  - Oral storytelling  - Written storytelling  - Visual storytelling  - Digital storytelling
Make an ontology that pertains to {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Make an ontology that pertains to Story. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix sto: <http://example.com/storyontology#> .sto:Story a rdfs:Class ;    rdfs:label "Story"@en ;    rdfs:comment "A work of fiction or non-fiction told in prose or verse"@en .sto:hasTitle a rdf:Property ;    rdfs:label "has title"@en ;    rdfs:comment "The title of the story"@en ;    rdfs:domain sto:Story ;    rdfs:range xsd:string .sto:hasAuthor a rdf:Property ;    rdfs:label "has author"@en ;    rdfs:comment "The author of the story"@en ;    rdfs:domain sto:Story ;    rdfs:range sto:Author .sto:Author a rdfs:Class ;    rdfs:label "Author"@en ;    rdfs:comment "The person who wrote the story"@en .sto:hasGenre a rdf:Property ;    rdfs:label "has genre"@en ;    rdfs:comment "The genre of the story"@en ;    rdfs:domain sto:Story ;    rdfs:range sto:Genre .sto:Genre a rdfs:Class ;    rdfs:label "Genre"@en ;    rdfs:comment "The categorization of the story based on its content, setting, mood, etc."@en .sto:hasCharacter a rdf:Property ;    rdfs:label "has character"@en ;    rdfs:comment "A character in the story"@en ;    rdfs:domain sto:Story ;    rdfs:range sto:Character .sto:Character a rdfs:Class ;    rdfs:label "Character"@en ;    rdfs:comment "A person, animal, or any other thing with a role in the story."@en .
Develop an ontology dedicated to the following: {noun}.		Develop an ontology dedicated to the following: Story.	1. Ontology Name: StoryOntology2. Main Classes:   - Story: This is the main class which is defined by its title, creator/author, genre, characters, setting, plot, and publication.       - Author: This class describes the creator of the story, which includes attributes like name, birthdate, nationality, other works, and awards.   - Genre: This class could be further divided into sub-classes such as romance, thriller, science fiction, fantasy, horror, mystery, etc.    - Characters: This class categorizes all the personas in the story, with attributes like name, role in the story (protagonist, antagonist, supporting etc.), background, relationship with other characters.   - Setting: This class deals with when and where the story takes place.   - Plot: This class includes important events, themes, the main problem, and resolution of the story.   - Publication: This class details the publication date, publisher's name, number of editions, etc.3. Relationships:   - HAS_AUTHOR: A relationship between Story and Author, for example, indicating who wrote the story.      - OF_GENRE: A relationship between Story and Genre. This will define the genre of a particular story.      - HAS_CHARACTER: A relationship between Story and Characters. This will indicate which characters appear in a story.   - SET_IN: A relationship between Story and Setting. This relationship will define where and when the story takes place.     - WITH_PLOT: This relationship is between Story and Plot which will indicate the events and themes of the story.      - PUBLISHED_BY: A relationship between Story and Publication details, defining facts related to the story's publication.4. Properties/Attributes:   - Story: Title, Summary, Length (short story, novel, etc.)   - Author: Name, Nationality, Birthdate, Biography   - Genre: Name   - Characters: Name, Role, Description   - Setting: Time, Location   - Plot: Theme, Conflict, Resolution   - Publication: Publisher, Publication Date, Editions, ISBN number.5. Additional Concepts:   - Review: It could contain attributes like reviewer's name, rating, text of the review, and date of the review.      - Translator: If the story has been translated, this class could include the translator's name, other translations, and original language.6. Instances:   - For the class Story, an instance could be "Harry Potter and the Philosopher's Stone", with J.K. Rowling as the Author, "Fantasy" as its Genre, 'Harry Potter' as a Character, 'Hogwarts' as the Setting, 'Harry's journey to becoming a wizard' as the Plot, and 'Bloomsbury Publishing' as the Publication.   In general, this ontology will assist in systematically organizing and retrieving stories based on various factors such as author, genre, characters, or setting making it easier for readers or researchers.
Develop an ontology dedicated to the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Develop an ontology dedicated to the following: Story. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix story: <http://www.example.org/story/> .story:Story a rdfs:Class .story:title a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range xsd:string .  story:author a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range xsd:string .story:genre a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Genre .story:Character a rdfs:Class .story:hasCharacter a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Character .story:name a rdf:Property ;  rdfs:domain story:Character ;  rdfs:range xsd:string .story:role a rdf:Property ;  rdfs:domain story:Character ;  rdfs:range xsd:string .story:Genre a rdfs:Class .story:Fantasy a story:Genre .story:Romance a story:Genre .story:Thriller a story:Genre .story:Horror a story:Genre .story:Drama a story:Genre .
Construct an ontology focused on the following: {noun}.		Construct an ontology focused on the following: Story.	1. **Story**    - Definition: A narrative, either true or fictitious, designed to interest, amuse, or instruct the hearer or reader.2. **Story Elements**    - **Plot**        - Definition: The sequence of events and happenings that make up a story.        - **Conflict**           - Definition: A problem that one or more characters face in a story.        - **Resolution**           - Definition: The way the conflict is resolved in the story.    - **Character**        - Definition: The people, animals or creatures in a story.        - **Protagonist**            - Definition: The leading character or one of the major characters in a story.        - **Antagonist**            - Definition: A character who opposes or competes with the protagonist.        - **Supporting Characters**            - Definition: Characters who help to explore the main characters and the story, but the story does not focus on them.    - **Setting**        - Definition: The time and place of the events in a story.    - **Theme**        - Definition: The underlying meaning or main idea of a story.    - **Narration**        - Definition: The process of telling the story, the point of view and the voice of the storyteller.3. **Types of Stories**    - **Fiction**        - Definition: Imaginary stories created from the author's mind.        - **Fantasy**            - Definition: Stories set in an imaginary world, often including magic, mythical creatures, and supernatural elements.        - **Science Fiction**            - Definition: Stories based on imagined future scientific or technological advances and major social or environmental changes.        - **Mystery**            - Definition: Stories involving a crime or secret that needs to be solved.        - **Romance**            - Definition: Stories centered around romantic relationships.    - **Non-fiction**        - Definition: Stories based on real-life facts and information.        - **Biography**            - Definition: A detailed description of a person's life.        - **Essay**            - Definition: A short piece of non-fiction writing on a particular subject.        - **Reportage**            - Definition: The reporting of news or events of general interest.4. **Storytelling**    - Definition: The activity of telling or writing stories.    - **Oral Storytelling**        - Definition: The process of telling a story through spoken words and expressions.    - **Literature**        - Definition: Written works, especially those considered of superior or lasting artistic merit.    - **Film**        - Definition: A story represented in moving pictures.    - **Theater**        - Definition: A place for the presentation of plays, films, or other dramatic performances.5. **Story Structure**    - **Beginning/Introduction**        - Definition: The initial part of the story where characters, setting and the basic situation are introduced.    - **Middle/Development**        - Definition: The part of the story where conflicts develop and a series of events build toward a climax.    - **End/Conclusion**        - Definition: The final part of the story where the climax is reached and resolved.6. **Narrative Devices**    - **Flashback**        - Definition: An interruption of the chronological sequence of an event in a story.     - **Foreshadowing**        - Definition: A warning or indication of a future event in the story.    - **Symbolism**        - Definition: The use of symbols to signify deeper meanings or qualities.
Construct an ontology focused on the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Construct an ontology focused on the following: Story. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix story: <http://www.example.org/story#> .# Class declarationsstory:Story a rdfs:Class;  rdfs:label "Story" ;  rdfs:comment "The class of all stories." .story:Character a rdfs:Class ;  rdfs:label "Character" ;  rdfs:comment "A character included in the story." .story:Setting a rdfs:Class ;  rdfs:label "Setting" ;  rdfs:comment "The setting in which the story takes place." .story:Theme a rdfs:Class ;  rdfs:label "Theme" ;  rdfs:comment "The themes outlined in the story." .# Property declarationsstory:hasCharacter a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Character ;  rdfs:label "has character" ;  rdfs:comment "represents a character present in the story." .story:hasSetting a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Setting ;  rdfs:label "has setting" ;  rdfs:comment "represents the setting where the story takes place." .story:hasTheme a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range story:Theme ;  rdfs:label "has theme" ;  rdfs:comment "represents the theme of the story." .# Datatype Propertystory:year a rdfs:Datatype ;  rdfs:domain story:Story ;  rdfs:range xsd:integer ;  rdfs:label "year" ;  rdfs:comment "represents the year when the story was written." .story:title a rdf:Property ;  rdfs:domain story:Story ;  rdfs:range xsd:string ;  rdfs:label "title" ;  rdfs:comment "represents the title of the story." .```
Build an ontology surrounding the concept of the following: {noun}.		Build an ontology surrounding the concept of the following: Story.	1. **Story**     - Attributes: Title, Author, Genre, Language, Publication Date     2. **Subcategories of Story**:     - Short Story: Bridges the gap between poetry and prose        - Attributes: <5000 words, limited characters     - Novel: Long form of storytelling, complex plot        - Attributes: >5000 words, multiple characters, plotlines    - Novella: Mid-length story, focus on a few characters        - Attributes: 20000-50000 words, fewer characters than a novel    - Novelette: Longer than a short story, shorter than a novella        - Attributes: 7500-20000 words, limited characters    - Fable: Short tale to teach a moral lesson often with animals        - Attributes: Short, moral lesson, anthropomorphized animals    - Fairy Tale: Children's story about magical and imaginary beings         - Attributes: Magic, imaginary beings, happy endings 3. **Genre**    - Attributes: Themes, Styles, Tropes    - Subcategories: Fantasy, Science Fiction, Mystery, Romance, Horror, Drama, Adventure, Thriller etc.4. **Author**    - Attributes: Name, Birthdate, Nationality, Bibliography     - associated relationships: Stories written, Genres written5. **Characters**    - Attributes: Name, Role, Description, Relationships     - Subcategories: Protagonist, Antagonist, Supporting characters 6. **Plot**    - Attributes: Conflict, Resolution, Timeline, Setting     - Subcategories: Exposition, Rising Action, Climax, Falling Action, Resolution7. **Setting**   - Attributes: Time, Location, Culture    - Subcategories: Real World, Fantasy World, Historical, Future 8. **Themes**   - Attributes: Main Idea, Message, Symbolism    - Examples: Love, War, Friendship, Coming of Age, Betrayal 9. **Narrative Style**   - Attributes: Point of View, Tense, Structure    - Subcategories: First Person, Third Person, Past Tense, Present Tense, Linear, Non-Linear 10. **Publication**      - Attributes: Publisher, Publication Date, Edition       - associated relationships: Published Stories, Authors Published
Build an ontology surrounding the concept of the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Build an ontology surrounding the concept of the following: Story. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix : <http://example.com/story#> .:Story rdf:type rdfs:Class ;       rdfs:label "Story" ;       rdfs:comment "A narrative, either true or fictitious, in prose or verse, designed to interest, amuse, or instruct the hearer or reader; tale." .:hasTitle rdf:type rdf:Property ;          rdfs:label "has title" ;          rdfs:domain :Story ;          rdfs:range xsd:string .:hasAuthor rdf:type rdf:Property ;           rdfs:label "has author" ;           rdfs:domain :Story ;           rdfs:range :Author .:Author rdf:type rdfs:Class ;        rdfs:label "Author" ;        rdfs:comment "The creator or originator of a piece of narrative, such as a book or story." .:hasGenre rdf:type rdf:Property ;          rdfs:label "has genre" ;          rdfs:domain :Story ;          rdfs:range :Genre .:Genre rdf:type rdfs:Class ;       rdfs:label "Genre" ;       rdfs:comment "A category of artistic composition, as in music or literature, characterized by similarities in form, style, or subject matter." .:hasCharacter rdf:type rdf:Property ;              rdfs:label "has character" ;              rdfs:domain :Story ;              rdfs:range :Character .:Character rdf:type rdfs:Class ;           rdfs:label "Character" ;           rdfs:comment "A person in a novel, play, or movie." .:hasSetting rdf:type rdf:Property ;            rdfs:label "has setting" ;            rdfs:domain :Story ;            rdfs:range :Setting .:Setting rdf:type rdfs:Class ;         rdfs:label "Setting" ;         rdfs:comment "The place or type of surroundings where something is positioned or where an event takes place." .
Formulate an ontology related to  the following: {noun}.		Formulate an ontology related to  the following: Story.	1. Concept: Story    - Sub-Concepts: Fiction, Non-fiction, Fairy Tale, Legends, Myth, Autobiography, Drama    - Properties: Title, Author, Publication Date, Genre, Language, Characters, Setting, Plot, Theme, Message, Narrative Perspective2. Concept: Characters    - Sub-Concepts: Protagonist, Antagonist, Supporting Characters    - Properties: Name, Age, Appearance, Personality, Role, Motivation, Background, Relationships, Development3. Concept: Setting    - Sub-Concepts: Time, Place     - Properties: Period, Moment, Environmental Description, Cultural Context, Influence on Characters, Impact on Plot4. Concept: Plot    - Sub-Concepts: Introduction, Rising Action, Climax, Falling Action, Resolution    - Properties: Conflict, Events, Pacing, Suspension, Plot Twist5. Concept: Theme    - No Sub-Concepts    - Properties: Central Idea, Underlying Message, Motif, Symbols, Relevance6. Concept: Narrative Perspective    - Sub-Concepts: First Person, Second Person, Third Person    - Properties: Narrator, Point of View, Credibility, Audience Relation, Style of Expression7. Concept: Author    - No Sub-Concepts    - Properties: Name, Nationality, Biography, Writing Style, Influences, Other Works8. Concept: Readers/Audience    - Sub-Concepts: Casual Readers, Scholars, Critics, Fans    - Properties: Demographics, Responses, Critiques, Interpretations, Influences9. Concept: Publication    - Sub-Concepts: Books, Magazines, Websites, Audiobooks    - Properties: Publication Date, Publisher, Edition, Format, Availability10. Concept: Language    - Sub-Concepts: English, French, Spanish, etc (depending on story)    - Properties: Vocabulary, Tone, Figurative Language, Dialogue
Formulate an ontology related to  the following: {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Formulate an ontology related to  the following: Story. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix story: <http://example.org/story#> .story:Story a rdfs:Class ;    rdfs:label "Story" .story:title a rdf:Property ;    rdfs:label "title" ;    rdfs:domain story:Story ;    rdfs:range xsd:string .story:author a rdf:Property ;    rdfs:label "author" ;    rdfs:domain story:Story ;    rdfs:range xsd:string .story:genre a rdf:Property ;    rdfs:label "genre" ;    rdfs:domain story:Story ;    rdfs:range xsd:string .story:publicationDate a rdf:Property ;    rdfs:label "publication date" ;    rdfs:domain story:Story ;    rdfs:range xsd:date .```
