hasOwnership	owner.ttl
hasOrigin	religion.ttl
numberOfAdherents	religion.ttl
belligerents	civilwar.ttl
casualties	civilwar.ttl
endYear	civilwar.ttl
startYear	civilwar.ttl
date	disastertype.ttl
location	disastertype.ttl
loss	disastertype.ttl
eventDescription	event.ttl
eventID	event.ttl
eventName	event.ttl
eventTime	event.ttl
location	event.ttl
hasFirstName	name.ttl
hasLastName	name.ttl
hasMiddleName	name.ttl
hasNickName	name.ttl
causedBy	stormsurges.ttl
cycloneName	stormsurges.ttl
inLocation	stormsurges.ttl
locationName	stormsurges.ttl
severity	stormsurges.ttl
hasGrandfather	grandfather.ttl
isGrandfatherOf	grandfather.ttl
hasEthnicity	ethnicity.ttl
hasPopulation	ethnicity.ttl
hasAge	grandparents.ttl
hasGrandparent	grandparents.ttl
isGrandparentOf	grandparents.ttl
happensAt	death.ttl
isCauseOf	death.ttl
occursAt	death.ttl
hasIndustry	job.ttl
hasSalary	job.ttl
hasTitle	job.ttl
requiresExperience	job.ttl
date	manumission.ttl
slave	manumission.ttl
slaveOwner	manumission.ttl
hasOccupation	occupation.ttl
hasName	slave.ttl
hasOrigin	slave.ttl
heldBy	slave.ttl
performsWork	slave.ttl
address	house.ttl
floors	house.ttl
isForSale	house.ttl
price	house.ttl
primaryOwner	house.ttl
rooms	house.ttl
age	people.ttl
hasSibling	people.ttl
name	people.ttl
birthdate	godmother.ttl
isGodmotherOf	godmother.ttl
name	godmother.ttl
religion	godmother.ttl
hasNationality	nationality.ttl
adress	place.ttl
countryOf	place.ttl
hasServiceCost	service.ttl
hasServiceDuration	service.ttl
hasServiceProvider	service.ttl
hasServiceType	service.ttl
hasEpicenter	earthquakes.ttl
hasMagnitude	earthquakes.ttl
hasOccurredAt	earthquakes.ttl
latitude	earthquakes.ttl
longitude	earthquakes.ttl
age	enslavedperson.ttl
gender	enslavedperson.ttl
name	enslavedperson.ttl
origin	enslavedperson.ttl
owner	enslavedperson.ttl
hasLocation	landslide.ttl
hasSeverity	landslide.ttl
hasTrigger	landslide.ttl
hasImpact	hazard.ttl
hasLikelihood	hazard.ttl
hasSeverity	hazard.ttl
hasHusband	husband.ttl
timePeriod	century.ttl
hasExpertiseArea	expertisearea.ttl
consistsOf	week.ttl
length	week.ttl
hasExpertise	expertise.ttl
hasExpertiseField	expertise.ttl
hasExpertiseLevel	expertise.ttl
deathToll	tornado.ttl
duration	tornado.ttl
formationProcess	tornado.ttl
fujitaScale	tornado.ttl
location	tornado.ttl
endDate	period.ttl
hasPeriod	period.ttl
startDate	period.ttl
hasGodparent	godparent.ttl
isGodparentOf	godparent.ttl
hasSon	son.ttl
