Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
specializesIn	1	['Research']	3	['bondage', 'editor', 'seamstress']	4
startDate	10	['Art', 'Case', 'End', 'Job', 'Moment', 'President', 'Research', 'Team', 'War', 'Work']	6	['ability', 'contract', 'exhibit', 'period', 'project', 'work']	16
studies	5	['Education', 'Research', 'School', 'Student', 'Study']	1	['university']	6
supports	1	['Research']	1	['supporter']	2
hasLength	6	['Line', 'Night', 'Side', 'Sofa', 'Way', 'Word']	3	['coast', 'road', 'word']	9
relatedTo	4	['Fact', 'Law', 'Others', 'Side']	2	['idea', 'skill']	6
age	18	['Child', 'Community', 'Education', 'Family', 'Friend', 'Girl', 'Kid', 'Man', 'Member', 'Mother', 'Others', 'Parent', 'Party', 'People', 'Person', 'School', 'Student', 'Teacher']	15	['boy', 'fugitive', 'governor', 'guest', 'hero', 'home', 'horse', 'instance', 'passenger', 'person', 'prisoner', 'researcher', 'servant', 'support', 'supporter']	33
attends	6	['Education', 'Kid', 'Others', 'School', 'Student', 'Study']	3	['party', 'society', 'student']	9
gender	8	['Child', 'Community', 'Family', 'Kid', 'Others', 'People', 'Person', 'Student']	4	['guest', 'instance', 'physician', 'researcher']	12
hasAge	26	['Child', 'Community', 'Company', 'Family', 'Friend', 'Girl', 'Government', 'Group', 'Guy', 'Health', 'Home', 'Idea', 'Kid', 'Life', 'Man', 'Member', 'Mother', 'Others', 'Parent', 'People', 'Person', 'Student', 'Teacher', 'Woman', 'Work', 'World']	13	['actor', 'girl', 'household', 'individual', 'man', 'obituary', 'party', 'passenger', 'people', 'reader', 'resident', 'speaker', 'woman']	39
hasColor	10	['Car', 'Chair', 'Couch', 'Door', 'Eye', 'Face', 'Loveseat', 'Others', 'Sofa', 'Thing']	11	['appearance', 'black', 'box', 'cotton', 'eye', 'figure', 'life', 'material', 'painting', 'planter', 'suit']	21
hasLocation	24	['Area', 'Back', 'Business', 'Change', 'Community', 'Company', 'Girl', 'Guy', 'History', 'Home', 'Job', 'Law', 'Lot', 'Moment', 'Office', 'Others', 'Party', 'Place', 'Service', 'Story', 'Student', 'Study', 'War', 'Work']	26	['arrest', 'battle', 'branch', 'cabin', 'church', 'company', 'emancipation', 'estate', 'event', 'guard', 'injury', 'kidnapping', 'meeting', 'memorial', 'merchant', 'party', 'photo', 'plaque', 'play', 'scene', 'situation', 'statue', 'tavern', 'tour', 'troop', 'violence']	50
hasManufacturer	6	['Car', 'Couch', 'Loveseat', 'Others', 'Part', 'Sofa']	1	['carriage']	7
hasNationality	5	['Man', 'Others', 'People', 'President', 'Woman']	3	['actor', 'individual', 'worker']	8
hasOccupation	8	['Guy', 'Man', 'Mother', 'Others', 'People', 'Person', 'Woman', 'Work']	1	['preacher']	9
hasShape	4	['Eye', 'Face', 'Others', 'Thing']	4	['appearance', 'box', 'eye', 'figure']	8
livesIn	7	['Girl', 'Guy', 'Home', 'Others', 'People', 'Person', 'World']	2	['person', 'relation']	9
location	16	['Art', 'Community', 'Company', 'Friend', 'History', 'Job', 'Lot', 'Office', 'Others', 'Party', 'Place', 'School', 'Service', 'Team', 'War', 'Work']	22	['arrest', 'audience', 'cabin', 'cemetery', 'ceremony', 'chef', 'circumstance', 'community', 'congregation', 'convention', 'damage', 'exhibit', 'funeral', 'memorial', 'monument', 'occasion', 'plantation', 'publisher', 'sea', 'speech', 'trader', 'wedding']	38
provides	16	['Air', 'Business', 'Education', 'Head', 'Health', 'Information', 'Man', 'Money', 'Others', 'Part', 'People', 'Reason', 'School', 'Service', 'System', 'Water']	1	['service']	17
endOfYear	1	['Year']	1	['year']	2
hasEvent	7	['Community', 'Day', 'History', 'Moment', 'Party', 'Reason', 'Year']	3	['decade', 'scene', 'spring']	10
hasYear	4	['Art', 'Car', 'Law', 'Year']	3	['carriage', 'citation', 'year']	7
year	3	['Art', 'Car', 'Year']	2	['census', 'publication']	5
birthDate	8	['Art', 'Book', 'Company', 'Family', 'History', 'Life', 'People', 'Person']	2	['cemetery', 'film']	10
deathDate	5	['Art', 'Book', 'Family', 'History', 'Life']	1	['cemetery']	6
hasBirth	1	['Life']	1	['birth']	2
hasChild	11	['Child', 'Family', 'Father', 'Guy', 'Life', 'Man', 'Mother', 'Parent', 'People', 'Person', 'Woman']	4	['ancestor', 'ancestry', 'descent', 'parent']	15
hasDeath	1	['Life']	1	['death']	2
hasEnd	7	['End', 'Life', 'Line', 'Moment', 'Night', 'Time', 'Way']	2	['end', 'spring']	9
hasParent	10	['Child', 'Family', 'Girl', 'Kid', 'Life', 'Man', 'Mother', 'Parent', 'People', 'Person']	5	['ancestor', 'descent', 'mother', 'parent', 'reproduction']	15
hasSibling	6	['Child', 'Family', 'Kid', 'Life', 'Man', 'Person']	3	['ancestry', 'descent', 'relation']	9
brand	3	['Couch', 'Loveseat', 'Sofa']	1	['marker']	4
color	8	['Car', 'Couch', 'Door', 'Eye', 'Face', 'Loveseat', 'Room', 'Sofa']	6	['clothe', 'dress', 'horse', 'marker', 'print', 'thing']	14
depth	3	['Couch', 'Loveseat', 'Water']	1	['sea']	4
hasMaterial	6	['Chair', 'Couch', 'Door', 'Loveseat', 'Money', 'Sofa']	8	['box', 'carriage', 'figure', 'heming', 'material', 'planter', 'statue', 'suit']	14
hasPrice	9	['Car', 'Chair', 'Company', 'Couch', 'Game', 'House', 'Lot', 'Service', 'Sofa']	7	['price', 'purchase', 'shop', 'total', 'trade', 'trading', 'travel']	16
hasSize	11	['Area', 'Couch', 'Eye', 'Face', 'Home', 'Lot', 'Loveseat', 'Part', 'Room', 'Sofa', 'Thing']	7	['appearance', 'box', 'cabin', 'clothing', 'photo', 'planter', 'ship']	18
hasStyle	5	['Art', 'Chair', 'Couch', 'Loveseat', 'Sofa']	4	['art', 'painter', 'style', 'suit']	9
hasType	11	['Area', 'Couch', 'Home', 'Information', 'Kind', 'Place', 'Question', 'Room', 'Service', 'Water', 'Way']	10	['ability', 'building', 'contract', 'damage', 'emancipation', 'home', 'material', 'memory', 'resource', 'thought']	21
height	3	['Couch', 'Loveseat', 'Man']	3	['area', 'monument', 'volume']	6
length	5	['Area', 'Couch', 'Line', 'Way', 'Word']	5	['foot', 'line', 'river', 'song', 'volume']	10
material	6	['Chair', 'Couch', 'Door', 'Loveseat', 'Money', 'Sofa']	2	['dress', 'thing']	8
size	9	['Couch', 'Eye', 'Group', 'Lot', 'Loveseat', 'Number', 'Room', 'Sofa', 'World']	7	['audience', 'clothe', 'crowd', 'dress', 'introduction', 'land', 'vessel']	16
width	3	['Area', 'Couch', 'Loveseat']	3	['area', 'foot', 'volume']	6
area	6	['City', 'Country', 'House', 'Lot', 'Room', 'World']	3	['island', 'nation', 'settlement']	9
capacity	2	['Power', 'Room']	1	['vessel']	3
hasArea	10	['Area', 'City', 'Country', 'Home', 'House', 'Lot', 'Place', 'Room', 'State', 'World']	8	['country', 'island', 'nation', 'region', 'sea', 'state', 'town', 'village']	18
hasCapacity	2	['Lot', 'Room']	2	['tavern', 'transportation']	4
hasFunction	4	['Eye', 'Hand', 'Room', 'System']	1	['institution']	5
hasFurniture	3	['Home', 'Office', 'Room']	3	['household', 'office', 'room']	6
hasRoom	4	['Home', 'House', 'Office', 'Room']	2	['home', 'household']	6
isLocatedIn	9	['City', 'Community', 'Company', 'Country', 'House', 'Place', 'Room', 'State', 'World']	2	['activism', 'village']	11
isOfType	1	['Room']	1	['collection']	2
locatedIn	13	['Art', 'City', 'Community', 'Company', 'Door', 'Government', 'Home', 'Office', 'Place', 'Room', 'State', 'Team', 'World']	3	['officer', 'researcher', 'state']	16
type	5	['Change', 'Force', 'Question', 'Room', 'Service']	5	['audience', 'dress', 'effect', 'manuscript', 'treatment']	10
endsAt	4	['Day', 'Morning', 'Night', 'War']	1	['process']	5
hasActivity	4	['Community', 'Day', 'Morning', 'Night']	1	['activist']	5
hasEndTime	11	['Business', 'Change', 'Day', 'End', 'Moment', 'Morning', 'Night', 'Result', 'Time', 'War', 'Work']	6	['church', 'end', 'exchange', 'period', 'service', 'time']	17
hasStartTime	10	['Business', 'Change', 'Day', 'Moment', 'Morning', 'Night', 'Result', 'Time', 'War', 'Work']	5	['church', 'exchange', 'period', 'service', 'time']	15
startsAt	3	['Day', 'Morning', 'Night']	1	['process']	4
time	2	['Moment', 'Morning']	1	['escape']	3
address	9	['Company', 'Home', 'House', 'Information', 'Lot', 'Office', 'Party', 'People', 'Person']	4	['gift', 'home', 'property', 'store']	13
city	5	['Company', 'Home', 'Party', 'Person', 'Place']	1	['person']	6
date	5	['Community', 'End', 'History', 'Moment', 'Party']	17	['arrest', 'battle', 'ceremony', 'contribution', 'convention', 'diary', 'example', 'funeral', 'gospel', 'loss', 'manuscript', 'occasion', 'publisher', 'raid', 'release', 'speech', 'wedding']	22
hasAttendee	1	['Party']	2	['event', 'party']	3
hasBirthDate	4	['Art', 'Family', 'Party', 'Woman']	4	['birth', 'life', 'painter', 'politician']	8
hasDate	10	['Day', 'End', 'Fact', 'History', 'Idea', 'Information', 'Moment', 'Party', 'Result', 'War']	20	['anniversary', 'arrest', 'battle', 'comment', 'diary', 'emancipation', 'event', 'information', 'manuscript', 'meeting', 'newspaper', 'obituary', 'page', 'party', 'petition', 'photo', 'plaque', 'preface', 'purchase', 'report']	30
hasDateTime	3	['Moment', 'Party', 'Time']	2	['kidnapping', 'violence']	5
hasGuest	1	['Party']	2	['party', 'wedding']	3
hasHost	1	['Party']	1	['party']	2
hasLeader	6	['Community', 'Government', 'Group', 'Party', 'Team', 'War']	1	['expedition']	7
hasMember	7	['Community', 'Family', 'Government', 'Group', 'Member', 'Party', 'Team']	12	['association', 'community', 'congregation', 'crew', 'group', 'household', 'legislature', 'militia', 'organization', 'politic', 'project', 'society']	19
hasOrganizer	1	['Party']	2	['event', 'party']	3
hasTheme	2	['Party', 'Story']	1	['party']	3
hasTime	8	['Change', 'Day', 'End', 'Moment', 'Party', 'Result', 'Time', 'Work']	3	['end', 'situation', 'view']	11
member	5	['Community', 'Family', 'Group', 'Party', 'Team']	2	['member', 'project']	7
participatesIn	5	['Community', 'Kid', 'Party', 'Team', 'War']	4	['activism', 'activist', 'controversy', 'missionary']	9
birthdate	4	['Child', 'Family', 'People', 'Person']	1	['activist']	5
dateOfBirth	2	['Family', 'People']	1	['physician']	3
firstName	8	['Company', 'Family', 'Guy', 'Name', 'Parent', 'People', 'Student', 'Team']	3	['governor', 'physician', 'servant']	11
hasDateOfBirth	2	['Family', 'Member']	3	['ancestry', 'baby', 'individual']	5
hasFather	4	['Family', 'Father', 'Man', 'Parent']	4	['ancestry', 'birth', 'grandfather', 'infant']	8
hasFirstName	8	['Child', 'Company', 'Family', 'Guy', 'Name', 'People', 'Person', 'President']	6	['individual', 'name', 'passenger', 'people', 'professor', 'worker']	14
hasGender	12	['Community', 'Family', 'Friend', 'Girl', 'Guy', 'Health', 'Kid', 'Man', 'Parent', 'People', 'Person', 'Woman']	6	['actor', 'baby', 'guest', 'individual', 'people', 'worker']	18
hasLastName	8	['Child', 'Company', 'Family', 'Guy', 'Name', 'People', 'Person', 'President']	6	['individual', 'name', 'passenger', 'people', 'professor', 'worker']	14
hasMother	5	['Family', 'Man', 'Mother', 'Parent', 'Woman']	4	['ancestry', 'birth', 'infant', 'mother']	9
hasSpouse	7	['Family', 'Father', 'Guy', 'Man', 'Mother', 'Parent', 'Person']	3	['marriage', 'widow', 'wife']	10
isChildOf	3	['Child', 'Family', 'Parent']	1	['girl']	4
isMale	2	['Child', 'Family']	1	['hero']	3
lastName	8	['Company', 'Family', 'Guy', 'Name', 'Parent', 'People', 'Student', 'Team']	4	['governor', 'physician', 'servant', 'surname']	12
sibling	2	['Family', 'Girl']	2	['brother', 'uncle']	4
endTime	7	['Hour', 'Job', 'Moment', 'Night', 'Service', 'Time', 'War']	4	['attempt', 'class', 'end', 'history']	11
hasMinutes	3	['Day', 'Hour', 'Minute']	1	['hour']	4
hasSecond	2	['Hour', 'Time']	1	['pair']	3
startTime	7	['Hour', 'Job', 'Moment', 'Night', 'Service', 'Time', 'War']	3	['attempt', 'class', 'history']	10
capital	4	['City', 'Country', 'State', 'World']	2	['nation', 'state']	6
country	6	['City', 'Company', 'Government', 'Money', 'Person', 'Place']	3	['freedom', 'island', 'person']	9
hasPopulation	6	['City', 'Country', 'Place', 'President', 'State', 'World']	10	['coast', 'country', 'county', 'homeland', 'island', 'nation', 'region', 'state', 'town', 'village']	16
isInCountry	1	['City']	1	['road']	2
population	7	['City', 'Community', 'Country', 'Government', 'Place', 'State', 'World']	6	['island', 'land', 'nation', 'settlement', 'state', 'world']	13
atLocation	1	['Study']	2	['care', 'party']	3
duration	4	['Moment', 'Night', 'Study', 'Time']	6	['effect', 'movement', 'pension', 'period', 'tour', 'treatment']	10
enrolledIn	5	['Child', 'Education', 'School', 'Student', 'Study']	1	['university']	6
hasDuration	9	['Friend', 'Minute', 'Moment', 'Night', 'Program', 'Service', 'Study', 'Time', 'Work']	8	['activity', 'condition', 'kidnapping', 'practice', 'prayer', 'study', 'suffering', 'travel']	17
hasLevel	2	['Level', 'Study']	3	['ability', 'independence', 'level']	5
hasResult	5	['Change', 'Problem', 'Result', 'Study', 'War']	1	['battle']	6
hasStudent	5	['Education', 'Result', 'School', 'Study', 'Teacher']	3	['class', 'school', 'teacher']	8
isTaughtBy	1	['Study']	1	['course']	2
reads	1	['Study']	1	['reader']	2
teaches	7	['Education', 'Information', 'Kind', 'School', 'Student', 'Study', 'Teacher']	4	['course', 'school', 'teacher', 'university']	11
cost	1	['Service']	1	['tour']	2
hasConsumer	1	['Service']	1	['service']	2
hasCustomer	1	['Service']	2	['purchase', 'sale']	3
hasProvider	1	['Service']	2	['care', 'service']	3
isProvidedBy	1	['Service']	1	['service']	2
offeredBy	2	['Education', 'Service']	1	['university']	3
price	5	['Business', 'Lot', 'Loveseat', 'Service', 'Sofa']	2	['purchase', 'shop']	7
providedBy	1	['Service']	1	['support']	2
providerName	1	['Service']	2	['assistance', 'service']	3
providesService	5	['Business', 'Community', 'Government', 'Service', 'System']	1	['service']	6
rating	2	['Game', 'Service']	2	['review', 'tour']	4
serviceName	2	['Business', 'Service']	1	['service']	3
currency	2	['Country', 'Money']	3	['fund', 'nation', 'wage']	5
hasCapital	3	['Country', 'State', 'World']	3	['country', 'nation', 'region']	6
hasCurrency	2	['Country', 'Money']	2	['earning', 'money']	4
isInContinent	1	['Country']	1	['country']	2
officialLanguage	1	['Country']	1	['homeland']	2
hasTexture	2	['Face', 'Thing']	1	['cotton']	3
involves	4	['Case', 'Law', 'Thing', 'War']	1	['money']	5
isUsedFor	1	['Thing']	1	['protection']	2
hasFact	1	['Fact']	1	['fact']	2
hasObject	1	['Fact']	2	['desire', 'statement']	3
hasPredicate	1	['Fact']	1	['statement']	2
hasSource	7	['Change', 'Fact', 'Information', 'Power', 'Question', 'Water', 'Way']	4	['fire', 'information', 'knowledge', 'testimony']	11
hasValue	7	['Area', 'Fact', 'Information', 'Money', 'Number', 'Power', 'Result']	7	['acre', 'estate', 'half', 'level', 'result', 'reward', 'value']	14
isVerified	2	['Fact', 'Information']	1	['testimony']	3
source	5	['Fact', 'Information', 'Power', 'Water', 'Way']	2	['press', 'water']	7
hasNumericValue	1	['Minute']	1	['value']	2
hasSeconds	2	['Day', 'Minute']	1	['hour']	3
hasUnit	5	['Area', 'Force', 'Minute', 'Power', 'Result']	2	['acre', 'resource']	7
amount	2	['Money', 'Power']	7	['contribution', 'debt', 'donation', 'earning', 'fund', 'price', 'wage']	9
hasMagnitude	2	['Force', 'Power']	1	['force']	3
hasPower	1	['Power']	1	['hero']	2
isMeasuredIn	1	['Power']	1	['loss']	2
isUsedIn	2	['Power', 'Sofa']	3	['carriage', 'cotton', 'symbol']	5
unit	2	['Area', 'Power']	1	['volume']	3
hasWidth	4	['Chair', 'Door', 'Loveseat', 'Sofa']	1	['image']	5
belongs	2	['Community', 'Government']	1	['priesthood']	3
hasComment	2	['Community', 'Result']	1	['reputation']	3
hasInstitution	1	['Community']	1	['society']	2
hasInterest	2	['Community', 'Guy']	1	['interest']	3
hasRole	6	['Business', 'Community', 'Company', 'Group', 'Office', 'Team']	7	['crew', 'militia', 'overseer', 'project', 'role', 'society', 'trading']	13
memberCount	1	['Community']	1	['group']	2
participant	2	['Community', 'War']	2	['battle', 'result']	4
writtenBy	2	['Community', 'Story']	1	['literature']	3
causedBy	3	['Change', 'Reason', 'War']	2	['damage', 'smallpox']	5
causes	4	['Change', 'End', 'Reason', 'Result']	3	['cause', 'change', 'loss']	7
hasCause	3	['Change', 'Problem', 'War']	10	['cause', 'damage', 'death', 'health', 'injury', 'pain', 'rebel', 'rebellion', 'struggle', 'suffering']	13
hasChangeType	1	['Change']	1	['change']	2
hasImpact	3	['Change', 'Idea', 'Problem']	3	['circumstance', 'risk', 'struggle']	6
hasTarget	1	['Change']	1	['attack']	2
occursAt	1	['Change']	2	['change', 'circumstance']	3
author	4	['Book', 'Information', 'Story', 'Word']	12	['article', 'book', 'diary', 'example', 'gospel', 'manuscript', 'memoir', 'novel', 'press', 'publication', 'publisher', 'writing']	16
contains	6	['Air', 'Home', 'Information', 'Reason', 'Week', 'World']	2	['cave', 'water']	8
content	2	['History', 'Information']	7	['article', 'diary', 'issue', 'manuscript', 'review', 'song', 'speech']	9
creationDate	4	['Art', 'Case', 'Group', 'Information']	1	['website']	5
hasContent	3	['Information', 'Question', 'Word']	8	['belief', 'comment', 'diary', 'newspaper', 'page', 'preface', 'record', 'report']	11
hasDataType	1	['Information']	1	['information']	2
hasFormat	1	['Information']	1	['image']	2
hasTimestamp	2	['Information', 'Result']	1	['request']	3
isDerivedFrom	1	['Information']	1	['information']	2
hasAddress	9	['Book', 'Company', 'Friend', 'Home', 'House', 'Kid', 'Lot', 'Place', 'School']	6	['building', 'guest', 'home', 'neighbor', 'petition', 'residence']	15
hasBathrooms	1	['House']	2	['cabin', 'home']	3
hasBedrooms	1	['House']	2	['cabin', 'home']	3
hasLivingRoom	1	['House']	1	['home']	2
hasOwner	4	['Business', 'Home', 'House', 'Lot']	7	['account', 'building', 'domain', 'estate', 'home', 'residence', 'tavern']	11
hasRooms	2	['Home', 'House']	1	['home']	3
ownedBy	1	['House']	2	['bond', 'transportation']	3
owner	3	['Home', 'House', 'Lot']	2	['cabin', 'property']	5
owns	3	['Business', 'Home', 'House']	2	['home', 'owner']	5
associatedWith	4	['Case', 'End', 'Level', 'Result']	4	['reputation', 'result', 'spring', 'theme']	8
cause	1	['End']	3	['damage', 'disease', 'effect']	4
hasActor	1	['End']	3	['controversy', 'film', 'play']	4
isEndOf	1	['End']	1	['end']	2
isResultOf	2	['End', 'Result']	1	['result']	3
hasApplication	1	['System']	1	['principle']	2
hasComponent	3	['Air', 'Face', 'System']	2	['meal', 'system']	5
hasHardware	1	['System']	1	['system']	2
hasInput	2	['Program', 'System']	2	['conversion', 'process']	4
hasObjective	1	['System']	1	['attempt']	2
hasOutput	2	['Program', 'System']	2	['conversion', 'process']	4
hasSoftware	1	['System']	1	['system']	2
hasVersion	2	['Program', 'System']	1	['version']	3
isComponentOf	1	['System']	1	['system']	2
partOf	7	['Hand', 'Office', 'Part', 'School', 'State', 'System', 'World']	3	['abolition', 'foot', 'vessel']	10
friend	1	['Friend']	1	['friendship']	2
hasFriend	1	['Friend']	1	['friendship']	2
hasPosition	5	['Face', 'Hand', 'Job', 'Team', 'Work']	2	['official', 'organization']	7
x	2	['Line', 'Point']	1	['line']	3
xCoordinate	2	['Line', 'Point']	2	['point', 'position']	4
y	2	['Line', 'Point']	1	['line']	3
yCoordinate	2	['Line', 'Point']	2	['point', 'position']	4
zCoordinate	1	['Point']	2	['point', 'position']	3
hasGrade	5	['Child', 'Education', 'Result', 'School', 'Student']	2	['institution', 'school']	7
hasOutcome	2	['Result', 'War']	2	['decision', 'rebellion']	4
outcome	1	['Result']	1	['circumstance']	2
score	1	['Result']	1	['result']	2
timestamp	1	['Result']	1	['conversation']	2
belongsGroup	1	['Member']	1	['rebel']	2
email	3	['Member', 'Office', 'Person']	5	['account', 'course', 'gift', 'physician', 'teacher']	8
hasEmail	1	['Member']	2	['mail', 'website']	3
hasCity	4	['Government', 'Home', 'Lot', 'World']	5	['address', 'homeland', 'land', 'location', 'passenger']	9
